"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
3.54324606771313,3.39171728309857,4.72463708076958,4.85785652945246,3.96040663454704,4.55736364398233,3.1888430167675,5.27146188876067,3.79207575634917,2.85829289926167,3.37532788633522
4.30031884056828,3.77776438562878,4.25834191498348,4.69848320686361,3.19989581960636,4.37394204346691,3.57244880268729,5.19646895879441,4.77804636668945,2.82678161197891,3.28825252529018
3.44764182987061,3.40073024683885,4.16372904507274,4.67549429833571,4.00763008772612,4.28813084865451,3.53226473864945,4.82961253285653,4.70201081282339,2.6342911978058,3.21466440812842
3.41216042503884,3.13016668968687,3.87007099689675,4.94832543116756,3.6839267631955,4.301215451453,3.83153643494487,4.73129197908141,3.75673850740925,2.58251544057415,2.63943139114956
4.16953684756554,3.28897572818325,4.23831129040707,4.80585943010906,3.76012604862367,4.56403003539168,2.56393152603058,5.19219513549604,4.07951516141278,2.43911758256328,2.89565441469178
4.16621168908758,3.56822936159026,4.35219326491167,4.95531863125542,3.93703157904217,4.53672842838247,3.10858153746452,4.84687772029308,3.16405163341173,2.63721310590369,3.33294269569546
3.49197918460729,3.40944953814182,4.10682521602681,4.58513133708866,3.94607411028579,4.3094751220622,3.19891486132447,5.51619735253872,5.34221376809213,2.25851293422269,3.11886994666238
3.50831159066847,3.34495222523116,3.95223016196869,5.00300757366535,3.63633802585036,4.6022724594666,2.84365516533196,5.6874343721977,2.63225195878345,2.64190550011762,3.00000747841576
3.01647219815197,3.01613654550255,4.32290256988733,4.63606575168097,3.66110579043443,4.98717874173345,2.56936011712666,4.94959524904271,5.00809325231951,2.57754886966875,3.51366089449831
3.31039251340535,3.40829415741245,3.62823721296267,4.77253186760246,3.59450060893885,4.71413223045657,3.65494187920393,4.83281896365111,3.78914293461468,2.71114333986739,2.93775193113482
3.04329878937116,3.29670620382079,4.01193458209196,4.67287508051247,3.55313408457073,4.33083593028317,2.39698483368279,5.77967803409155,4.31717562223059,2.32705547946039,3.08533877570473
3.50487519173091,3.35757404561262,4.26584807350299,5.04791024041188,3.78897232552508,4.15217033761621,2.98569048048313,4.14742445186185,4.63360134217209,2.76073277888705,3.75938712786233
